Change Component Designator: OldDesignator= NewDesignator=C7
Change Component Designator: OldDesignator= NewDesignator=C8
Change Component Designator: OldDesignator= NewDesignator=R2
Change Component Designator: OldDesignator= NewDesignator=R4
Added Pin To Net: NetName=INC Pin=+-1
Added Pin To Net: NetName=GND Pin=+-2
Added Pin To Net: NetName=GND Pin=+-3
Added Pin To Net: NetName=INC Pin=+-4
Added Pin To Net: NetName=Net3v3_1 Pin=3v3-1
Added Pin To Net: NetName=GND Pin=3v3-2
Added Pin To Net: NetName=Net5v_1 Pin=5v-1
Added Pin To Net: NetName=GND Pin=5v-2
Added Pin To Net: NetName=e Pin=7seg-1
Added Pin To Net: NetName=d Pin=7seg-2
Added Pin To Net: NetName=com Pin=7seg-3
Added Pin To Net: NetName=c Pin=7seg-4
Added Pin To Net: NetName=DP Pin=7seg-5
Added Pin To Net: NetName=b Pin=7seg-6
Added Pin To Net: NetName=a Pin=7seg-7
Added Pin To Net: NetName=com Pin=7seg-8
Added Pin To Net: NetName=f Pin=7seg-9
Added Pin To Net: NetName=g Pin=7seg-10
Added Pin To Net: NetName=Net12V-DC_1 Pin=12V-DC-1
Added Pin To Net: NetName=GND Pin=12V-DC-2
Added Pin To Net: NetName=GND Pin=12V-DC-3
Added Pin To Net: NetName=NetBoot0_1 Pin=Boot0-1
Added Pin To Net: NetName=Boot0 Pin=Boot0-2
Added Pin To Net: NetName=NetBoot0_3 Pin=Boot0-3
Added Pin To Net: NetName=XI Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=XO Pin=C2-1
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=NetC3_2 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=NetC3_2 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=3v3 Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=NetC3_2 Pin=C6-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=3v3 Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=3v3 Pin=C8-2
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=NetC3_2 Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=+12 Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=NetC3_2 Pin=C11-2
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=NetC3_2 Pin=C12-2
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=+12 Pin=C13-2
Added Pin To Net: NetName=GND Pin=C14-1
Added Pin To Net: NetName=3v3 Pin=C14-2
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=3v3 Pin=C15-2
Added Pin To Net: NetName=NRST Pin=C16-1
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=3v3 Pin=C17-2
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=NetC3_2 Pin=C18-2
Added Pin To Net: NetName=GND Pin=C19-1
Added Pin To Net: NetName=NetC3_2 Pin=C19-2
Added Pin To Net: NetName=NRST Pin=C20-1
Added Pin To Net: NetName=NetC20_2 Pin=C20-2
Added Pin To Net: NetName=Net12V-DC_1 Pin=D1-1
Added Pin To Net: NetName=+12 Pin=D1-2
Added Pin To Net: NetName=NetD2_1 Pin=D2-1
Added Pin To Net: NetName=NetC3_2 Pin=D2-2
Added Pin To Net: NetName=NetD3_1 Pin=D3-1
Added Pin To Net: NetName=NetD2_1 Pin=D3-2
Added Pin To Net: NetName=D+ Pin=J1-A5
Added Pin To Net: NetName=NetD3_1 Pin=J1-A9
Added Pin To Net: NetName=GND Pin=J1-A12
Added Pin To Net: NetName=D- Pin=J1-B5
Added Pin To Net: NetName=NetD3_1 Pin=J1-B9
Added Pin To Net: NetName=GND Pin=J1-B12
Added Pin To Net: NetName=GND Pin=J1-S1
Added Pin To Net: NetName=GND Pin=J1-S2
Added Pin To Net: NetName=GND Pin=J1-S3
Added Pin To Net: NetName=GND Pin=J1-S4
Added Pin To Net: NetName=NetLED_1 Pin=LED-1
Added Pin To Net: NetName=GND Pin=LED-2
Added Pin To Net: NetName=NetC3_2 Pin=MAX485-01
Added Pin To Net: NetName=NetMAX485_02 Pin=MAX485-02
Added Pin To Net: NetName=NetMAX485_03 Pin=MAX485-03
